name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y,Price
Harry Kane,FW,ENG,18592,15944,256,256,22712,252.0,288,64,352,248,40,40,16,0,244.8,213.6,51.2,264.0,288,816,1312,9.12,2.0,11.12,7.84,9.92,7.76,1.6,9.36,6.8,8.4,605,8,2,4,4,16,11,1,0,9,12,2,3,5,3,0,0,0,0,0,0,0.0,GER-Bundesliga,Bayern Munich,30-306,FW,9000000.0
Jonas Wind,FW,DEN,23240,19990,340,310,26510,295.0,110,70,180,110,0,10,30,0,94.0,85.0,51.0,136.0,170,880,1150,3.7,2.4,6.1,3.7,6.1,3.2,1.7000000000000002,4.9,2.9,4.6000000000000005,598,3,3,0,0,18,10,0,0,4,9,4,3,1,0,0,0,0,0,0,0,0.0,GER-Bundesliga,Wolfsburg,25-112,"FW,MF,FW,AM",3500000.0
Rasmus Højlund,FW,DEN,18592,16024,240,200,17264,192.0,80,16,96,80,0,0,16,0,60.8,60.8,12.8,73.6,288,264,888,3.36,0.64,4.0,3.36,4.0,2.56,0.56,3.04,2.56,3.04,594,7,1,0,0,23,12,1,0,8,13,1,1,0,0,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester Utd,21-115,FW,5500000.0
Kristjan Asllani,MF,ALB,18592,16016,184,48,6296,69.6,8,16,24,8,0,0,8,0,4.8,4.8,8.8,12.8,40,256,64,0.88,1.84,2.72,0.88,2.72,0.56,0.96,1.52,0.48,1.44,593,1,1,0,0,11,2,1,0,5,8,0,4,6,9,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,22-081,"MF,CM,DM,AM",2500000.0
Romelu Lukaku,FW,BEL,18592,15944,256,240,21128,234.4,104,24,128,104,0,8,40,8,78.4,72.0,19.2,91.2,296,296,1872,3.52,0.8,4.4,3.52,4.4,2.64,0.64,3.36,2.48,3.12,592,14,1,1,1,29,18,2,0,1,6,5,1,2,0,0,0,0,0,0,0,0.0,ITA-Serie A,Roma,31-016,FW,8000000.0
Oleksandr Zinchenko,DF,UKR,18592,15968,216,160,13776,152.8,8,16,24,8,0,0,16,0,4.8,4.8,20.0,24.8,320,1832,464,0.4,0.8,1.28,0.4,1.28,0.24,1.04,1.28,0.24,1.28,587,1,1,0,0,1,1,2,0,4,4,1,6,5,3,0,0,0,0,0,0,0.0,ENG-Premier League,Arsenal,27-166,"DF,MF,DM,AM",3000000.0
Kyle Walker,DF,ENG,16268,13930,224,210,19369,214.9,0,28,28,0,0,0,14,0,2.8000000000000003,2.8000000000000003,18.2,21.0,518,1099,1204,0.0,0.91,0.91,0.0,0.91,0.07,0.63,0.7000000000000001,0.07,0.7000000000000001,585,1,1,0,0,1,1,1,0,3,1,0,10,3,6,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,34-001,"DF,MF,RB",5000000.0
Xavi Simons,MF,NED,18592,16024,256,256,21224,236.0,64,88,152,56,8,16,88,8,66.4,53.6,78.4,131.2,1208,1496,1728,2.16,2.96,5.12,1.92,4.88,2.24,2.64,4.88,1.84,4.48,582,0,0,0,0,19,2,1,0,12,10,0,13,3,1,0,0,0,0,0,0,0.0,GER-Bundesliga,RB Leipzig,21-038,"FW,MF,FW,AM",4500000.0
Denis Zakaria,"MF,DF",SUI,16268,13972,175,168,14959,165.9,28,0,28,28,0,0,91,14,9.8,9.8,7.700000000000001,17.5,189,749,161,1.1900000000000002,0.0,1.1900000000000002,1.1900000000000002,1.1900000000000002,0.42,0.35,0.77,0.42,0.77,580,0,1,0,0,12,2,2,0,9,8,0,2,6,9,0,0,0,0,0,0,0.0,FRA-Ligue 1,Monaco,27-191,"CM,DM",2500000.0
Nedim Bajrami,"MF,FW",ALB,18592,15992,224,120,10480,116.8,16,16,32,16,0,0,0,0,20.0,20.0,17.6,37.6,408,392,560,1.12,1.12,2.16,1.12,2.16,1.36,1.2,2.64,1.36,2.64,574,3,1,0,0,9,6,2,0,3,9,1,17,2,5,0,0,0,0,0,0,0.0,ITA-Serie A,Sassuolo,25-091,"CM,FW,MF,AM",3000000.0
Yannick Carrasco,DF,BEL,18592,15944,24,24,1768,20.0,0,8,8,0,0,0,0,0,0.8,0.8,1.6,2.4,72,48,136,0.0,3.28,3.28,0.0,3.28,0.24,0.8,0.96,0.24,0.96,562,1,3,0,0,11,4,0,0,4,5,4,30,6,3,0,0,0,0,0,0,0.0,ESP-La Liga,Atlético Madrid,30-268,"CM,LW,DF,FW,FW,LM",4000000.0
Andreas Christensen,"DF,MF",DEN,16268,13972,210,189,13853,154.0,14,14,28,14,0,0,28,0,7.0,7.0,7.700000000000001,15.400000000000002,168,819,42,0.63,0.63,1.26,0.63,1.26,0.35,0.35,0.7000000000000001,0.35,0.7000000000000001,557,0,0,0,0,4,1,1,0,4,6,0,1,4,10,0,0,0,0,0,0,0.0,ESP-La Liga,Barcelona,28-049,CB,3500000.0
