name,pos,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%
Mislav Oršić,LW,324,1,2,0,0,2,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0
Nathan Aké,CB,324,0,2,0,0,1,0,0,0,0,1,0,2,0,6,0,0,0,0,0,0,0
Yevhen Makarenko,CM,318,0,0,0,0,1,1,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0
Harry Wilson,AM,318,0,0,0,0,1,0,0,2,1,0,0,0,2,3,0,0,0,0,0,0,0
Owen Wijndal,WB,318,0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,0
Rafa Silva,"RW,RM",318,0,4,0,0,0,0,0,0,1,3,0,2,2,0,0,1,0,0,0,0,0
Philipp Lienhart,CB,312,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Tihomir Kostadinov,RW,300,0,0,0,0,0,0,2,0,1,1,0,0,2,6,0,0,0,0,0,0,0
Alessandro Florenzi,LB,288,0,0,0,0,0,0,0,0,2,0,0,8,0,3,0,0,0,0,0,0,0
Pierre Bengtsson,LB,288,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Mario Pašalić,LM,288,1,0,0,0,3,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Djibril Sow,CM,282,0,0,0,0,1,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0
Ryan Fraser,CM,270,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Stefan Spirovski,CM,270,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
Stanislav Lobotka,DM,270,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
Ryan Christie,FW,270,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Clément Lenglet,CB,270,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
