name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y
Ryan Christie,MF,SCO,25564,21945,407,385,31977,355.29999999999995,0,55,55,0,0,0,66,0,25.299999999999997,25.299999999999997,59.400000000000006,84.7,660,1837,858,0.0,1.65,1.65,0.0,1.65,0.77,1.87,2.6399999999999997,0.77,2.6399999999999997,561,1,0,0,0,5,0,1,0,12,10,0,11,2,0,0,0,0,0,0,0,0.0,ENG-Premier League,Bournemouth,29-097,"LM,FW,MF,FW,AM"
Erling Haaland,FW,NOR,16268,14000,217,203,17864,198.79999999999998,189,35,224,140,49,56,7,0,204.4,160.29999999999998,30.099999999999998,190.4,245,182,882,6.6499999999999995,1.26,7.909999999999999,4.97,6.16,7.21,1.05,8.26,5.67,6.72,560,6,1,2,3,15,9,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,23-313,FW
Andreas Christensen,"DF,MF",DEN,16268,13972,210,189,13853,154.0,14,14,28,14,0,0,28,0,7.0,7.0,7.700000000000001,15.400000000000002,168,819,42,0.63,0.63,1.26,0.63,1.26,0.35000000000000003,0.35000000000000003,0.7000000000000001,0.35000000000000003,0.7000000000000001,557,0,0,0,0,4,1,1,0,4,6,0,1,4,10,0,0,0,0,0,0,0.0,ESP-La Liga,Barcelona,28-049,CB
Artem Dovbyk,FW,UKR,25564,21967,396,352,28457,315.7,264,88,352,187,77,88,22,0,266.2,196.89999999999998,68.2,265.1,198,286,1298,9.129999999999999,3.08,12.21,6.489999999999999,9.57,9.24,2.31,11.55,6.82,9.24,554,2,0,1,1,11,5,1,0,11,5,3,0,0,0,0,0,0,0,0,0,0.0,ESP-La Liga,Girona,26-343,FW
Adam Marušić,DF,MNE,16268,13944,259,259,21700,240.79999999999998,7,0,7,7,0,0,21,7,2.8000000000000003,2.8000000000000003,5.6000000000000005,8.4,245,826,756,0.21,0.0,0.21,0.21,0.21,0.07,0.14,0.28,0.07,0.28,553,1,2,0,0,4,3,0,0,3,5,3,16,5,4,0,0,0,0,0,0,0.0,ITA-Serie A,Lazio,31-225,"FW,DF,FW,RM,LM,RB,AM"
Wout Weghorst,FW,NED,23240,19920,280,240,19770,220.0,70,30,100,60,10,10,40,0,72.0,64.0,35.0,99.0,140,570,1320,3.2,1.4000000000000001,4.6000000000000005,2.7,4.1,3.3000000000000003,1.6,4.9,2.9,4.5,546,4,0,0,1,24,10,1,0,10,5,0,1,4,0,0,0,0,0,0,0,0.0,GER-Bundesliga,Hoffenheim,31-296,FW
Phillipp Mwene,DF,AUT,16268,13958,161,161,13972,155.4,7,14,21,7,0,0,28,7,9.799999999999999,9.799999999999999,14.0,23.8,350,511,651,0.35000000000000003,0.63,0.9800000000000001,0.35000000000000003,0.9800000000000001,0.42,0.63,1.05,0.42,1.05,545,0,0,0,0,1,1,1,0,3,3,1,19,4,4,0,0,0,0,0,0,0.0,GER-Bundesliga,Mainz 05,30-121,"LB,DF,MF,RB"
Alexander Isak,FW,SWE,16268,13993,210,189,15785,175.70000000000002,147,14,161,112,35,42,7,0,142.1,109.2,25.900000000000002,135.1,476,497,903,5.88,0.56,6.44,4.48,5.04,5.67,1.05,6.72,4.34,5.390000000000001,541,1,0,0,0,12,2,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0.0,ENG-Premier League,Newcastle Utd,24-251,"FW,AM"
Tijjani Reijnders,MF,NED,18592,15984,288,264,22560,250.4,24,24,48,24,0,0,64,0,25.6,25.6,29.6,56.0,704,1632,720,0.8,0.8,1.52,0.8,1.52,0.8,0.96,1.76,0.8,1.76,540,1,1,0,0,10,6,0,0,2,3,2,4,1,2,0,0,0,0,0,0,0.0,ITA-Serie A,Milan,25-305,"MF,DM,AM"
Brice Samba,GK,FRA,13944,11964,198,198,17820,198.0,0,0,0,0,0,0,18,0,0.0,0.0,1.2000000000000002,1.2000000000000002,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.0,FRA-Ligue 1,Lens,30-034,GK
